id_key,Name,S3Path,Footprint,GeoFootprint,cloud_cover,path,processing_baseline,valid_pixel
S2A_MSIL1C_20210903T102021_N0500_R065_T32TMR,S2A_MSIL2A_20210903T102021_N0500_R065_T32TMR_20230118T173959.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2021/09/03/S2A_MSIL2A_20210903T102021_N0500_R065_T32TMR_20230118T173959.SAFE,"geography'SRID=4326;POLYGON ((7.70695108472353 46.0462596089832, 7.72941642306786 45.0581916702363, 9.12397449851132 45.0651927065434, 9.12616723722405 46.0535047357316, 7.70695108472353 46.0462596089832))'","{'type': 'Polygon', 'coordinates': [[[7.70695108472353, 46.0462596089832], [7.72941642306786, 45.0581916702363], [9.12397449851132, 45.0651927065434], [9.12616723722405, 46.0535047357316], [7.70695108472353, 46.0462596089832]]]}",34.746963,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2A_MSIL2A_20210903T102021_N0500_R065_T32TMR_20230118T173959,500,99.99994027889755
S2B_MSIL1C_20180702T104019_N0500_R008_T31TFM,S2B_MSIL2A_20180702T104019_N0500_R008_T31TFM_20230712T235932.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2018/07/02/S2B_MSIL2A_20180702T104019_N0500_R008_T31TFM_20230712T235932.SAFE,"geography'SRID=4326;POLYGON ((4.31403528037438 46.9461682539754, 4.29048406872727 45.9582645183917, 5.70625433304514 45.9334965048851, 5.75558491606423 46.9205363881921, 4.31403528037438 46.9461682539754))'","{'type': 'Polygon', 'coordinates': [[[4.31403528037438, 46.9461682539754], [4.29048406872727, 45.9582645183917], [5.70625433304514, 45.9334965048851], [5.75558491606423, 46.9205363881921], [4.31403528037438, 46.9461682539754]]]}",8.212475,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2B_MSIL2A_20180702T104019_N0500_R008_T31TFM_20230712T235932,500,100.0
S2B_MSIL1C_20180726T102019_N0500_R065_T32UPA,S2B_MSIL2A_20180726T102019_N0500_R065_T32UPA_20230811T184149.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2018/07/26/S2B_MSIL2A_20180726T102019_N0500_R065_T32UPA_20230811T184149.SAFE,"geography'SRID=4326;POLYGON ((10.4113495060493 50.5437391742884, 10.382684363173 49.5564944519631, 11.8993596884542 49.5284182944309, 11.9593860762896 50.5146700159563, 10.4113495060493 50.5437391742884))'","{'type': 'Polygon', 'coordinates': [[[10.4113495060493, 50.5437391742884], [10.382684363173, 49.5564944519631], [11.8993596884542, 49.5284182944309], [11.9593860762896, 50.5146700159563], [10.4113495060493, 50.5437391742884]]]}",14.940277999999998,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2B_MSIL2A_20180726T102019_N0500_R065_T32UPA_20230811T184149,500,100.0
S2B_MSIL1C_20210815T103629_N0500_R008_T31UFP,S2B_MSIL2A_20210815T103629_N0500_R008_T31UFP_20230213T103228.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2021/08/15/S2B_MSIL2A_20210815T103629_N0500_R008_T31UFP_20230213T103228.SAFE,"geography'SRID=4326;POLYGON ((4.36027924628366 48.7449841116978, 4.3343313489668 47.7574097373474, 5.79809471530293 47.7310444777451, 5.85243870847307 48.7176947511785, 4.36027924628366 48.7449841116978))'","{'type': 'Polygon', 'coordinates': [[[4.36027924628366, 48.7449841116978], [4.3343313489668, 47.7574097373474], [5.79809471530293, 47.7310444777451], [5.85243870847307, 48.7176947511785], [4.36027924628366, 48.7449841116978]]]}",34.562334,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2B_MSIL2A_20210815T103629_N0500_R008_T31UFP_20230213T103228,500,100.0
S2A_MSIL1C_20191206T103421_N0500_R108_T31TGL,S2A_MSIL2A_20191206T103421_N0500_R108_T31TGL_20230626T200401.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2019/12/06/S2A_MSIL2A_20191206T103421_N0500_R108_T31TGL_20230626T200401.SAFE,"geography'SRID=4326;POLYGON ((5.58354883959714 46.0243650756893, 5.53870686346421 45.0370344030641, 6.93003339104157 44.997587612457, 6.99932055993755 45.9835452069264, 5.58354883959714 46.0243650756893))'","{'type': 'Polygon', 'coordinates': [[[5.58354883959714, 46.0243650756893], [5.53870686346421, 45.0370344030641], [6.93003339104157, 44.997587612457], [6.99932055993755, 45.9835452069264], [5.58354883959714, 46.0243650756893]]]}",2.255814,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2A_MSIL2A_20191206T103421_N0500_R108_T31TGL_20230626T200401,500,99.99982083669265
S2A_MSIL1C_20210419T103021_N0500_R108_T31TGM,S2A_MSIL2A_20210419T103021_N0500_R108_T31TGM_20230523T062857.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2021/04/19/S2A_MSIL2A_20210419T103021_N0500_R108_T31TGM_20230523T062857.SAFE,"geography'SRID=4326;POLYGON ((5.62648535527944 46.9235730583036, 5.57945945555527 45.9364308730675, 6.99300216654522 45.8957352519379, 7.06565713269579 46.8814596616377, 5.62648535527944 46.9235730583036))'","{'type': 'Polygon', 'coordinates': [[[5.62648535527944, 46.9235730583036], [5.57945945555527, 45.9364308730675], [6.99300216654522, 45.8957352519379], [7.06565713269579, 46.8814596616377], [5.62648535527944, 46.9235730583036]]]}",21.031907,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2A_MSIL2A_20210419T103021_N0500_R108_T31TGM_20230523T062857,500,99.99997013944878
S2B_MSIL1C_20240228T102859_N0510_R108_T32UMV,S2B_MSIL2A_20240228T102859_N0510_R108_T32UMV_20240228T131506.SAFE,s3://eodata/Sentinel-2/MSI/L2A/2024/02/28/S2B_MSIL2A_20240228T102859_N0510_R108_T32UMV_20240228T131506.SAFE,"geography'SRID=4326;POLYGON ((7.614272368185703 49.64443007346099, 7.64154622508021 48.6570207750582, 9.132551327123652 48.66495515183609, 9.135213595780941 49.65264386875175, 7.614272368185703 49.64443007346099))'","{'type': 'Polygon', 'coordinates': [[[7.614272368185703, 49.64443007346099], [7.64154622508021, 48.6570207750582], [9.132551327123652, 48.66495515183609], [9.135213595780941, 49.65264386875175], [7.614272368185703, 49.64443007346099]]]}",37.725243,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2B_MSIL2A_20240228T102859_N0510_R108_T32UMV_20240228T131506,510,99.99967153393652
S2B_MSIL1C_20210610T101559_N0500_R065_T32TMR,S2B_MSIL2A_20210610T101559_N0500_R065_T32TMR_20230321T102457.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2021/06/10/S2B_MSIL2A_20210610T101559_N0500_R065_T32TMR_20230321T102457.SAFE,"geography'SRID=4326;POLYGON ((7.70695108472353 46.0462596089832, 7.72941642306786 45.0581916702363, 9.12397449851132 45.0651927065434, 9.12616723722405 46.0535047357316, 7.70695108472353 46.0462596089832))'","{'type': 'Polygon', 'coordinates': [[[7.70695108472353, 46.0462596089832], [7.72941642306786, 45.0581916702363], [9.12397449851132, 45.0651927065434], [9.12616723722405, 46.0535047357316], [7.70695108472353, 46.0462596089832]]]}",14.088364,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2B_MSIL2A_20210610T101559_N0500_R065_T32TMR_20230321T102457,500,100.0
S2C_MSIL1C_20250121T104411_N0511_R008_T31UFR,S2C_MSIL2A_20250121T104411_N0511_R008_T31UFR_20250121T125310.SAFE,s3://eodata/Sentinel-2/MSI/L2A/2025/01/21/S2C_MSIL2A_20250121T104411_N0511_R008_T31UFR_20250121T125310.SAFE,"geography'SRID=4326;POLYGON ((4.411349506049253 50.543739174288454, 4.382684363173013 49.55649445196309, 5.899359688454207 49.52841829443089, 5.959386076289571 50.5146700159563, 4.411349506049253 50.543739174288454))'","{'type': 'Polygon', 'coordinates': [[[4.411349506049253, 50.543739174288454], [4.382684363173013, 49.55649445196309], [5.899359688454207, 49.52841829443089], [5.959386076289571, 50.5146700159563], [4.411349506049253, 50.543739174288454]]]}",26.064402,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2C_MSIL2A_20250121T104411_N0511_R008_T31UFR_20250121T125310,511,99.99970139448774
S2A_MSIL1C_20190222T104041_N0500_R008_T31UFP,S2A_MSIL2A_20190222T104041_N0500_R008_T31UFP_20221127T065447.SAFE,s3://eodata/Sentinel-2/MSI/L2A_N0500/2019/02/22/S2A_MSIL2A_20190222T104041_N0500_R008_T31UFP_20221127T065447.SAFE,"geography'SRID=4326;POLYGON ((4.36027924628366 48.7449841116978, 4.3343313489668 47.7574097373474, 5.79809471530293 47.7310444777451, 5.85243870847307 48.7176947511785, 4.36027924628366 48.7449841116978))'","{'type': 'Polygon', 'coordinates': [[[4.36027924628366, 48.7449841116978], [4.3343313489668, 47.7574097373474], [5.79809471530293, 47.7310444777451], [5.85243870847307, 48.7176947511785], [4.36027924628366, 48.7449841116978]]]}",26.609188,/mnt/disk/dataset/sentinel-ai-processor/V3/train/target/S2A_MSIL2A_20190222T104041_N0500_R008_T31UFP_20221127T065447,500,100.0
